"25 ก.ค. 2556",30.9796
"24 ก.ค. 2556",31.9462
"23 ก.ค. 2556",32.3014
"19 ก.ค. 2556",31.6109
"18 ก.ค. 2556",31.8029
"17 ก.ค. 2556",31.2146
"16 ก.ค. 2556",31.0334
"15 ก.ค. 2556",31.1152
"12 ก.ค. 2556",31.1879
"11 ก.ค. 2556",31.1966
"10 ก.ค. 2556",29.8536
"09 ก.ค. 2556",29.8174
"08 ก.ค. 2556",29.8821
"05 ก.ค. 2556",30.6762
"04 ก.ค. 2556",30.3801
"03 ก.ค. 2556",30.6431
"02 ก.ค. 2556",31.0886
"28 มิ.ย. 2556",30.8855
"27 มิ.ย. 2556",30.7405
"26 มิ.ย. 2556",30.1212
"25 มิ.ย. 2556",29.2752
"24 มิ.ย. 2556",28.6641
"21 มิ.ย. 2556",29.441
"20 มิ.ย. 2556",29.3545
"19 มิ.ย. 2556",30.0192
"18 มิ.ย. 2556",29.5423
"17 มิ.ย. 2556",30.5232
"14 มิ.ย. 2556",30.405
"13 มิ.ย. 2556",29.1295
"12 มิ.ย. 2556",29.4846
"11 มิ.ย. 2556",29.8252
"10 มิ.ย. 2556",31.4652
"07 มิ.ย. 2556",31.2661
"06 มิ.ย. 2556",30.6626
"05 มิ.ย. 2556",31.039
"04 มิ.ย. 2556",31.7607
"03 มิ.ย. 2556",31.2801
"31 พ.ค. 2556",31.6987
"30 พ.ค. 2556",32.2167
"29 พ.ค. 2556",32.7256
"28 พ.ค. 2556",33.1974
"27 พ.ค. 2556",32.5822
"23 พ.ค. 2556",32.948
"22 พ.ค. 2556",33.5109
"21 พ.ค. 2556",33.8625
"20 พ.ค. 2556",33.8474
"17 พ.ค. 2556",33.4563
"16 พ.ค. 2556",33.1817
"15 พ.ค. 2556",33.4354
"14 พ.ค. 2556",33.2111
"13 พ.ค. 2556",33.134
"10 พ.ค. 2556",33.3958
"09 พ.ค. 2556",33.3464
"08 พ.ค. 2556",33.1916
"07 พ.ค. 2556",32.905
"03 พ.ค. 2556",32.2267
"02 พ.ค. 2556",32.4191
"30 เม.ย. 2556",32.5372
"29 เม.ย. 2556",32.1482
"26 เม.ย. 2556",32.1499
"25 เม.ย. 2556",31.9634
"24 เม.ย. 2556",31.46
"23 เม.ย. 2556",31.36
"22 เม.ย. 2556",31.4821
"19 เม.ย. 2556",31.2766
"18 เม.ย. 2556",30.9996
"17 เม.ย. 2556",30.8465
"12 เม.ย. 2556",30.9889
"11 เม.ย. 2556",30.7885
"10 เม.ย. 2556",30.2368
"09 เม.ย. 2556",29.869
"05 เม.ย. 2556",30.1867
"04 เม.ย. 2556",31.0624
"03 เม.ย. 2556",30.8655
"02 เม.ย. 2556",31.3511
"01 เม.ย. 2556",31.1012
"29 มี.ค. 2556",31.3407
"28 มี.ค. 2556",31.0388
"27 มี.ค. 2556",31.3969
"26 มี.ค. 2556",31.0892
"25 มี.ค. 2556",30.6385
"22 มี.ค. 2556",29.8562
"21 มี.ค. 2556",30.7675
"20 มี.ค. 2556",30.9445
"19 มี.ค. 2556",31.4153
"18 มี.ค. 2556",31.7724
"15 มี.ค. 2556",31.9153
"14 มี.ค. 2556",31.6899
"13 มี.ค. 2556",31.5649
"12 มี.ค. 2556",31.5211
"11 มี.ค. 2556",31.4046
"08 มี.ค. 2556",31.2053
"07 มี.ค. 2556",31.1325
"06 มี.ค. 2556",31.2092
"05 มี.ค. 2556",30.9638
"04 มี.ค. 2556",30.8512
"01 มี.ค. 2556",30.8673
"28 ก.พ. 2556",30.8706
"27 ก.พ. 2556",30.2749
"26 ก.พ. 2556",30.6008
"22 ก.พ. 2556",30.9175
"21 ก.พ. 2556",30.6809
"20 ก.พ. 2556",31.1413
"19 ก.พ. 2556",30.8813
"18 ก.พ. 2556",30.6438
"15 ก.พ. 2556",30.6652
"14 ก.พ. 2556",30.9309
"13 ก.พ. 2556",30.6805
"12 ก.พ. 2556",30.0532
"11 ก.พ. 2556",30.0937
"08 ก.พ. 2556",30.4395
"07 ก.พ. 2556",30.5565
"06 ก.พ. 2556",30.6406
"05 ก.พ. 2556",30.8883
"04 ก.พ. 2556",30.9434
"01 ก.พ. 2556",30.8465
"31 ม.ค. 2556",30.3787
"30 ม.ค. 2556",30.747
"29 ม.ค. 2556",30.4108
"28 ม.ค. 2556",30.2676
"25 ม.ค. 2556",30.0445
"24 ม.ค. 2556",29.8298
"23 ม.ค. 2556",29.7668
"22 ม.ค. 2556",29.6369
"21 ม.ค. 2556",29.7492
"18 ม.ค. 2556",29.6458
"17 ม.ค. 2556",29.3284
"16 ม.ค. 2556",29.2095
"15 ม.ค. 2556",29.4738
"14 ม.ค. 2556",29.5767
"11 ม.ค. 2556",29.4004
"10 ม.ค. 2556",29.3386
"09 ม.ค. 2556",29.6955
"08 ม.ค. 2556",29.6608
"07 ม.ค. 2556",29.68
"04 ม.ค. 2556",29.8174
"03 ม.ค. 2556",29.6803
"02 ม.ค. 2556",29.7453
"28 ธ.ค. 2555",29.4812
