Benchmark level: 2.5% per year 
Test period: 25540101 - 25570311
Fund,1,2,3,4,5,6,7,sharpe_ratio,annual_return,sharpe_ratio_sort,annual_return_sort
allocation,0,0,0,10,30,40,20,0.12782,0.59166,0,1
allocation,0,0,0,10,30,50,10,0.11297,0.47047,0,0
allocation,0,0,0,10,30,60,0,0.09493,0.35104,0,0
allocation,0,0,0,10,40,0,50,0.15865,0.91717,0,1
allocation,0,0,0,10,40,10,40,0.14874,0.79183,0,1
allocation,0,0,0,10,40,20,30,0.13738,0.66813,0,1
allocation,0,0,0,10,40,30,20,0.12411,0.54612,0,1
allocation,0,0,0,10,40,40,10,0.10823,0.42584,0,0
allocation,0,0,0,10,40,50,0,0.08864,0.30735,0,0
allocation,0,0,0,10,50,0,40,0.14617,0.74498,0,1
allocation,0,0,0,10,50,10,30,0.13422,0.62216,0,1
allocation,0,0,0,10,50,20,20,0.12013,0.50105,0,1
allocation,0,0,0,10,50,30,10,0.10303,0.38169,0,0
allocation,0,0,0,10,50,40,0,0.08162,0.26414,0,0
allocation,0,0,0,10,60,0,30,0.13086,0.57665,0,1
allocation,0,0,0,10,60,10,20,0.11581,0.45645,0,0
allocation,0,0,0,10,60,20,10,0.09730,0.33802,0,0
allocation,0,0,0,10,60,30,0,0.07368,0.22142,0,0
allocation,0,0,0,10,70,0,20,0.11109,0.41233,0,0
allocation,0,0,0,10,70,10,10,0.09090,0.29484,0,0
allocation,0,0,0,10,70,20,0,0.06459,0.17920,0,0
allocation,0,0,0,10,80,0,10,0.08369,0.25215,0,0
allocation,0,0,0,10,80,10,0,0.05405,0.13748,0,0
allocation,0,0,0,10,90,0,0,0.04161,0.09627,0,0
allocation,0,0,0,20,0,0,80,0.19287,1.45699,0,1
allocation,0,0,0,20,0,10,70,0.18648,1.32569,0,1
allocation,0,0,0,20,0,20,60,0.17954,1.19587,0,1
allocation,0,0,0,20,0,30,50,0.17193,1.06757,0,1
allocation,0,0,0,20,0,40,40,0.16348,0.94084,0,1
allocation,0,0,0,20,0,50,30,0.15397,0.81570,0,1
allocation,0,0,0,20,0,60,20,0.14309,0.69221,0,1
allocation,0,0,0,20,0,70,10,0.13038,0.57040,0,1
allocation,0,0,0,20,0,80,0,0.11519,0.45034,0,0
allocation,0,0,0,20,10,0,70,0.18520,1.27560,0,1
allocation,0,0,0,20,10,10,60,0.17810,1.14658,0,1
allocation,0,0,0,20,10,20,50,0.17027,1.01911,0,1
allocation,0,0,0,20,10,30,40,0.16153,0.89321,0,1
allocation,0,0,0,20,10,40,30,0.15163,0.76893,0,1
allocation,0,0,0,20,10,50,20,0.14021,0.64632,0,1
allocation,0,0,0,20,10,60,10,0.12674,0.52541,0,1
allocation,0,0,0,20,10,70,0,0.11042,0.40626,0,0
allocation,0,0,0,20,20,0,60,0.17664,1.09773,0,1
allocation,0,0,0,20,20,10,50,0.16858,0.97108,0,1
allocation,0,0,0,20,20,20,40,0.15952,0.84603,0,1
allocation,0,0,0,20,20,30,30,0.14919,0.72262,0,1
allocation,0,0,0,20,20,40,20,0.13716,0.60089,0,1
allocation,0,0,0,20,20,50,10,0.12281,0.48089,0,0
allocation,0,0,0,20,20,60,0,0.10517,0.36267,0,0
allocation,0,0,0,20,30,0,50,0.16684,0.92349,0,1
allocation,0,0,0,20,30,10,40,0.15744,0.79930,0,1
allocation,0,0,0,20,30,20,30,0.14662,0.67677,0,1
allocation,0,0,0,20,30,30,20,0.13390,0.55593,0,1
allocation,0,0,0,20,30,40,10,0.11852,0.43685,0,0
allocation,0,0,0,20,30,50,0,0.09932,0.31957,0,0
allocation,0,0,0,20,40,0,40,0.15526,0.75302,0,1
allocation,0,0,0,20,40,10,30,0.14390,0.63137,0,1
allocation,0,0,0,20,40,20,20,0.13038,0.51145,0,1
allocation,0,0,0,20,40,30,10,0.11382,0.39329,0,0
allocation,0,0,0,20,40,40,0,0.09273,0.27695,0,0
allocation,0,0,0,20,50,0,30,0.14101,0.58645,0,1
allocation,0,0,0,20,50,10,20,0.12658,0.46743,0,0
allocation,0,0,0,20,50,20,10,0.10860,0.35021,0,0
allocation,0,0,0,20,50,30,0,0.08522,0.23483,0,0
allocation,0,0,0,20,60,0,20,0.12242,0.42390,0,0
allocation,0,0,0,20,60,10,10,0.10275,0.30762,0,0
allocation,0,0,0,20,60,20,0,0.07653,0.19321,0,0
allocation,0,0,0,20,70,0,10,0.09609,0.26553,0,0
allocation,0,0,0,20,70,10,0,0.06630,0.15209,0,0
allocation,0,0,0,20,80,0,0,0.05401,0.11148,0,0
allocation,0,0,0,30,0,0,70,0.19253,1.27917,0,1
allocation,0,0,0,30,0,10,60,0.18588,1.15127,0,1
allocation,0,0,0,30,0,20,50,0.17855,1.02493,0,1
allocation,0,0,0,30,0,30,40,0.17036,0.90017,0,1
allocation,0,0,0,30,0,40,30,0.16106,0.77705,0,1
allocation,0,0,0,30,0,50,20,0.15028,0.65560,0,1
allocation,0,0,0,30,0,60,10,0.13749,0.53588,0,1
allocation,0,0,0,30,0,70,0,0.12182,0.41793,0,0
allocation,0,0,0,30,10,0,60,0.18475,1.10297,0,1
allocation,0,0,0,30,10,10,50,0.17723,0.97746,0,1
allocation,0,0,0,30,10,20,40,0.16877,0.85356,0,1
allocation,0,0,0,30,10,30,30,0.15908,0.73131,0,1
allocation,0,0,0,30,10,40,20,0.14775,0.61075,0,1
allocation,0,0,0,30,10,50,10,0.13413,0.49194,0,0
allocation,0,0,0,30,10,60,0,0.11717,0.37492,0,0
allocation,0,0,0,30,20,0,50,0.17589,0.93044,0,1
allocation,0,0,0,30,20,10,40,0.16713,0.80739,0,1
allocation,0,0,0,30,20,20,30,0.15702,0.68603,0,1
allocation,0,0,0,30,20,30,20,0.14506,0.56637,0,1
allocation,0,0,0,30,20,40,10,0.13047,0.44849,0,0
allocation,0,0,0,30,20,50,0,0.11198,0.33241,0,0
allocation,0,0,0,30,30,0,40,0.16545,0.76169,0,1
allocation,0,0,0,30,30,10,30,0.15486,0.64121,0,1
allocation,0,0,0,30,30,20,20,0.14218,0.52247,0,1
allocation,0,0,0,30,30,30,10,0.12646,0.40551,0,0
allocation,0,0,0,30,30,40,0,0.10608,0.29039,0,0
allocation,0,0,0,30,40,0,30,0.15259,0.59686,0,1
allocation,0,0,0,30,40,10,20,0.13907,0.47904,0,0
allocation,0,0,0,30,40,20,10,0.12199,0.36303,0,0
allocation,0,0,0,30,40,30,0,0.09930,0.24887,0,0
allocation,0,0,0,30,50,0,20,0.13567,0.43609,0,0
allocation,0,0,0,30,50,10,10,0.11695,0.32103,0,0
allocation,0,0,0,30,50,20,0,0.09135,0.20784,0,0
allocation,0,0,0,30,60,0,10,0.11119,0.27953,0,0
allocation,0,0,0,30,60,10,0,0.08183,0.16733,0,0
allocation,0,0,0,30,70,0,0,0.07014,0.12732,0,0
allocation,0,0,0,40,0,0,60,0.19364,1.10883,0,1
allocation,0,0,0,40,0,10,50,0.18678,0.98445,0,1
allocation,0,0,0,40,0,20,40,0.17906,0.86170,0,1
allocation,0,0,0,40,0,30,30,0.17022,0.74061,0,1
allocation,0,0,0,40,0,40,20,0.15983,0.62123,0,1
allocation,0,0,0,40,0,50,10,0.14725,0.50361,0,1
allocation,0,0,0,40,0,60,0,0.13139,0.38780,0,0
allocation,0,0,0,40,10,0,50,0.18592,0.93799,0,1
allocation,0,0,0,40,10,10,40,0.17798,0.81611,0,1
allocation,0,0,0,40,10,20,30,0.16880,0.69590,0,1
allocation,0,0,0,40,10,30,20,0.15789,0.57743,0,1
allocation,0,0,0,40,10,40,10,0.14446,0.46074,0,0
allocation,0,0,0,40,10,50,0,0.12716,0.34588,0,0
allocation,0,0,0,40,20,0,40,0.17692,0.77097,0,1
allocation,0,0,0,40,20,10,30,0.16736,0.65166,0,1
allocation,0,0,0,40,20,20,20,0.15584,0.53411,0,1
allocation,0,0,0,40,20,30,10,0.14140,0.41836,0,0
allocation,0,0,0,40,20,40,0,0.12233,0.30445,0,0
allocation,0,0,0,40,30,0,30,0.16588,0.60789,0,1
allocation,0,0,0,40,30,10,20,0.15366,0.49127,0,0
allocation,0,0,0,40,30,20,10,0.13802,0.37646,0,0
allocation,0,0,0,40,30,30,0,0.11674,0.26352,0,0
allocation,0,0,0,40,40,0,20,0.15132,0.44891,0,0
allocation,0,0,0,40,40,10,10,0.13421,0.33506,0,0
allocation,0,0,0,40,40,20,0,0.11009,0.22310,0,0
allocation,0,0,0,40,50,0,10,0.12984,0.29415,0,0
allocation,0,0,0,40,50,10,0,0.10198,0.18318,0,0
allocation,0,0,0,40,60,0,0,0.09172,0.14378,0,0
allocation,0,0,0,50,0,0,50,0.19709,0.94616,0,1
allocation,0,0,0,50,0,10,40,0.19018,0.82543,0,1
allocation,0,0,0,50,0,20,30,0.18221,0.70640,0,1
allocation,0,0,0,50,0,30,20,0.17273,0.58911,0,1
allocation,0,0,0,50,0,40,10,0.16098,0.47362,0,0
allocation,0,0,0,50,0,50,0,0.14560,0.35997,0,0
allocation,0,0,0,50,10,0,40,0.18988,0.78087,0,1
allocation,0,0,0,50,10,10,30,0.18168,0.66273,0,1
allocation,0,0,0,50,10,20,20,0.17179,0.54637,0,1
allocation,0,0,0,50,10,30,10,0.15928,0.43182,0,0
allocation,0,0,0,50,10,40,0,0.14242,0.31913,0,0
allocation,0,0,0,50,20,0,30,0.18124,0.61954,0,1
allocation,0,0,0,50,20,10,20,0.17089,0.50411,0,1
allocation,0,0,0,50,20,20,10,0.15747,0.39051,0,0
allocation,0,0,0,50,20,30,0,0.13875,0.27880,0,0
allocation,0,0,0,50,30,0,20,0.17003,0.46234,0,0
allocation,0,0,0,50,30,10,10,0.15552,0.34970,0,0
allocation,0,0,0,50,30,20,0,0.13436,0.23898,0,0
allocation,0,0,0,50,40,0,10,0.15335,0.30939,0,0
allocation,0,0,0,50,40,10,0,0.12889,0.19966,0,0
allocation,0,0,0,50,50,0,0,0.12173,0.16086,0,0
allocation,0,0,0,60,0,0,40,0.20461,0.79137,0,1
allocation,0,0,0,60,0,10,30,0.19823,0.67442,0,1
allocation,0,0,0,60,0,20,20,0.19060,0.55924,0,1
allocation,0,0,0,60,0,30,10,0.18095,0.44590,0,0
allocation,0,0,0,60,0,40,0,0.16776,0.33443,0,0
allocation,0,0,0,60,10,0,30,0.19915,0.63180,0,1
allocation,0,0,0,60,10,10,20,0.19145,0.51757,0,1
allocation,0,0,0,60,10,20,10,0.18147,0.40518,0,0
allocation,0,0,0,60,10,30,0,0.16722,0.29470,0,0
allocation,0,0,0,60,20,0,20,0.19267,0.47638,0,0
allocation,0,0,0,60,20,10,10,0.18235,0.36496,0,0
allocation,0,0,0,60,20,20,0,0.16676,0.25547,0,0
allocation,0,0,0,60,30,0,10,0.18370,0.32525,0,0
allocation,0,0,0,60,30,10,0,0.16631,0.21676,0,0
allocation,0,0,0,60,40,0,0,0.16567,0.17856,0,0
allocation,0,0,0,70,0,0,30,0.22022,0.64468,0,1
allocation,0,0,0,70,0,10,20,0.21632,0.53164,0,1
allocation,0,0,0,70,0,20,10,0.21166,0.42046,0,0
allocation,0,0,0,70,0,30,0,0.20523,0.31121,0,0
allocation,0,0,0,70,10,0,20,0.22054,0.49104,0,0
allocation,0,0,0,70,10,10,10,0.21697,0.38084,0,0
allocation,0,0,0,70,10,20,0,0.21183,0.27258,0,0
allocation,0,0,0,70,20,0,10,0.22415,0.34172,0,0
allocation,0,0,0,70,20,10,0,0.22123,0.23447,0,0
allocation,0,0,0,70,30,0,0,0.23488,0.19688,0,0
allocation,0,0,0,80,0,0,20,0.25553,0.50630,0,1
allocation,0,0,0,80,0,10,10,0.26311,0.39732,0,0
allocation,0,0,0,80,0,20,0,0.27809,0.29030,0,0
allocation,0,0,0,80,10,0,10,0.28032,0.35880,0,0
allocation,0,0,0,80,10,10,0,0.30813,0.25280,0,0
allocation,0,0,0,80,20,0,0,0.35534,0.21581,0,0
allocation,0,0,0,90,0,0,10,0.36281,0.37649,0,0
allocation,0,0,0,90,0,10,0,0.46087,0.27173,0,0
allocation,0,0,0,90,10,0,0,0.58868,0.23535,1,0
allocation,0,0,0,100,0,0,0,0.93227,0.25550,1,0
allocation,0,0,10,0,0,0,90,0.19408,1.64054,0,2
allocation,0,0,10,0,0,10,80,0.18795,1.50596,0,2
allocation,0,0,10,0,0,20,70,0.18137,1.37280,0,1
allocation,0,0,10,0,0,30,60,0.17425,1.24109,0,1
allocation,0,0,10,0,0,40,50,0.16647,1.11088,0,1
allocation,0,0,10,0,0,50,40,0.15789,0.98219,0,1
allocation,0,0,10,0,0,60,30,0.14831,0.85507,0,1
allocation,0,0,10,0,0,70,20,0.13747,0.72957,0,1
allocation,0,0,10,0,0,80,10,0.12499,0.60572,0,1
