Benchmark level: 2.5% per year 
Test period: 25570101 - 25570311
Fund,8,9,10,11,12,13,sharpe_ratio,annual_return,sharpe_ratio_sort,annual_return_sort
allocation,60,20,0,10,10,0,2.37838,34.33658,2,34
allocation,60,20,10,0,0,10,3.32667,47.75852,3,48
allocation,60,20,10,0,10,0,2.48679,36.30609,2,36
allocation,60,20,10,10,0,0,2.92662,40.95723,3,41
allocation,60,30,0,0,0,10,3.30257,53.14613,3,53
allocation,60,30,0,0,10,0,2.56181,41.80650,3,42
allocation,60,30,0,10,0,0,2.95862,46.39604,3,46
allocation,60,30,10,0,0,0,3.04401,48.32968,3,48
allocation,60,40,0,0,0,0,3.04984,53.74166,3,54
allocation,70,0,0,10,10,10,2.64982,34.06548,3,34
allocation,70,0,10,0,10,10,2.76784,36.03261,3,36
allocation,70,0,10,10,0,10,3.26739,40.69928,3,41
allocation,70,0,10,10,10,0,2.27725,29.10272,2,29
allocation,70,10,0,0,10,10,2.81919,41.50419,3,42
allocation,70,10,0,10,0,10,3.26621,46.10910,3,46
allocation,70,10,0,10,10,0,2.40319,34.62756,2,35
allocation,70,10,10,0,0,10,3.35579,48.04040,3,48
allocation,70,10,10,0,10,0,2.51244,36.59508,3,37
allocation,70,10,10,10,0,0,2.95368,41.24423,3,41
allocation,70,20,0,0,0,10,3.32839,53.42446,3,53
allocation,70,20,0,0,10,0,2.58492,42.09180,3,42
allocation,70,20,0,10,0,0,2.98298,46.67939,3,47
allocation,70,20,10,0,0,0,3.06916,48.61111,3,49
allocation,70,30,0,0,0,0,3.07243,54.01956,3,54
allocation,80,0,0,0,10,10,2.84555,41.79001,3,42
allocation,80,0,0,10,0,10,3.29404,46.39299,3,46
allocation,80,0,0,10,10,0,2.42783,34.91861,2,35
allocation,80,0,10,0,0,10,3.38471,48.32236,3,48
allocation,80,0,10,0,10,0,2.53794,36.88414,3,37
allocation,80,0,10,10,0,0,2.98052,41.53132,3,42
allocation,80,10,0,0,0,10,3.35407,53.70286,3,54
allocation,80,10,0,0,10,0,2.60792,42.37716,3,42
allocation,80,10,0,10,0,0,3.00717,46.96282,3,47
allocation,80,10,10,0,0,0,3.09416,48.89262,3,49
allocation,80,20,0,0,0,0,3.09491,54.29753,3,54
allocation,90,0,0,0,0,10,3.37959,53.98135,3,54
allocation,90,0,0,0,10,0,2.63079,42.66261,3,43
allocation,90,0,0,10,0,0,3.03118,47.24632,3,47
allocation,90,0,10,0,0,0,3.11901,49.17421,3,49
allocation,90,10,0,0,0,0,3.11727,54.57558,3,55
allocation,100,0,0,0,0,0,3.13951,54.85371,3,55
